Index,Entity,Code,Year,LandUse,Type
15,Lamb & Mutton,,2010,184.8125937,Meat
2,Beef (beef herd),,2010,163.5957874,Meat
10,Dark Chocolate,,2010,137.92,Other
7,Cheese,,2010,39.75996377,Other
17,Milk,,2010,27.12121212,Other
4,Berries & Grapes,,2010,24.1,Fruit
3,Beef (dairy herd),,2010,21.9047619,Meat
1,Bananas,,2010,21.44444444,Fruit
0,Apples,,2010,21.0,Fruit
23,Pig Meat,,2010,10.72929543,Meat
18,Nuts,,2010,7.936313533,Other
30,Tomatoes,,2010,7.272727273,Vegetable
25,Poultry Meat,,2010,7.055427252,Meat
19,Oatmeal,,2010,5.846153846,Cereal
11,Eggs,,2010,5.650684932,Other
24,Potatoes,,2010,5.176470588,Vegetable
27,Rice,,2010,3.943661972,Cereal
12,Fish (farmed),,2010,3.687787766,Meat
22,Peas,,2010,3.357335734,Vegetable
28,Root Vegetables,,2010,3.3,Vegetable
31,Wheat & Rye,,2010,3.155737705,Cereal
20,Onions & Leeks,,2010,3.0,Vegetable
29,Tofu,,2010,2.2,Other
26,Prawns (farmed),,2010,2.010832769,Meat
