,Entity,Year,LandUse,Type
17,Lamb & Mutton,2010,369.81,Meat
3,Beef (beef herd),2010,326.21,Meat
10,Cheese,2010,87.79,Other
13,Dark Chocolate,2010,68.96,Other
4,Beef (dairy herd),2010,43.24,Meat
27,Pig Meat,2010,17.36,Meat
20,Nuts,2010,12.96,Other
29,Poultry Meat,2010,12.22,Meat
19,Milk,2010,8.95,Other
15,Fish (farmed),2010,8.41,Meat
21,Oatmeal,2010,7.6,Cereal
26,Peas,2010,7.46,Vegetable
14,Eggs,2010,6.27,Other
36,Wheat & Rye,2010,3.85,Cereal
34,Tofu,2010,3.52,Other
30,Prawns (farmed),2010,2.97,Meat
31,Rice,2010,2.8,Cereal
6,Berries & Grapes,2010,2.41,Fruit
1,Bananas,2010,1.93,Fruit
28,Potatoes,2010,0.88,Vegetable
35,Tomatoes,2010,0.8,Vegetable
0,Apples,2010,0.63,Fruit
22,Onions & Leeks,2010,0.39,Vegetable
32,Root Vegetables,2010,0.33,Vegetable
